,ARID1B,CCL21,CCND2,CD3E,CDC20,CDK6,CDKN2A,CDKN2C,CHEK1,CKS2,COL1A1,ESR1,EZH2,FBLIM1,FGFR4,GAS1,IFNGR1,IGF2,KDR,KIF20A,KRT14,MDM4,MMP9,MUTYH,MYBL1,PGK1,PGR,PIM1,SPOP,TAGLN,TMEM30B,USF1,LINC02593,CCN1,ACTB,CASC3,GUSB,MRPL19,POP4,TTC21B,KIAA1715
caris_80,15.0554,0.191275,4.32541,0.521731,2.40132,12.7194,2.06416,8.69363,0.570315,4.43989,127.266,1.10274,2.74763,4.80802,0.243479,63.5259,280.164,556.658,9.42292,1.76508,3.69971,26.2379,1.80717,7.38094,2.59063,66.2792,15.6888,3.02832,48.9161,150.033,64.7531,16.1713,,36.5005,997.652,22.5931,14.8943,11.8433,6.4386,14.0034,
caris_81,20.3904,0.102499,23.6985,1.33979,3.028,18.5579,1.96552,12.0512,0.400302,1.9417,54.7667,0.141475,2.62637,1.46828,1.19325,5.3086,205.104,83.5483,13.9258,0.240851,0.586658,76.0015,1.95479,7.78319,25.9885,60.0729,0.97516,3.40456,56.8188,250.496,65.8286,17.7174,,15.1812,529.906,27.0083,13.9487,18.8656,5.08237,20.1749,
caris_82,23.1063,0.139938,2.90473,1.70806,2.14825,4.7811,0.187106,0.940134,3.64366,2.58049,599.378,0.533876,4.21865,5.23017,0.175356,17.9721,50.8021,215.451,15.7172,1.82419,2.08656,25.7185,3.90378,3.14328,0.854743,20.7483,0.840536,2.47041,17.2782,59.4313,36.4202,11.0595,,28.1479,355.079,9.262,10.8396,5.47568,2.38458,8.73094,
caris_83,11.4807,0.216963,14.2199,1.93771,10.0143,27.2553,0.881089,9.2852,2.33477,27.3234,284.367,0.350473,14.7792,3.2717,0.970744,10.5596,90.1455,1085.43,6.12542,5.6968,20.9519,66.8887,0.201517,6.76723,3.54422,120.27,19.2105,7.92883,46.5936,56.1921,27.0023,17.1312,,6.41332,606.373,18.1203,27.9295,16.8712,7.68593,21.1553,
caris_84,9.12788,0.284914,1.87732,0.535487,1.38565,3.52924,7.32727,6.50183,1.74933,13.1485,410.047,0.959884,5.15428,3.24199,0.118003,15.8099,53.7557,817.263,2.69242,2.53519,13.6997,35.8906,4.82735,2.72841,4.32254,46.7453,7.80244,2.70275,22.2921,75.983,9.71277,16.7131,,4.55799,647.922,19.2702,9.47861,9.25039,4.22116,6.71046,
caris_85,62.4846,2.20814,111.794,1.35501,0.883817,6.14322,1.45825,0.991436,0.876139,17.2019,1740.26,0.486654,4.26591,11.0521,0.205544,6.43906,277.199,1040.48,9.05208,0.599678,0.643615,78.502,0.822701,39.326,1.59293,47.0821,77.025,2.49737,66.8868,91.9735,1.75929,40.3711,,23.4869,2226.87,41.1624,40.5773,15.8541,6.03988,28.43,
caris_86,24.8311,0.474408,11.904,3.04205,2.14316,3.60314,8.89316,1.83358,3.65573,3.62957,1057.23,1.87186,1.78933,11.7197,5.02487,12.3471,149.296,214.198,8.29674,1.09312,0.490123,30.0079,1.09075,18.7168,1.12198,42.0165,7.19718,0.688263,43.4782,83.4225,171.479,22.8735,,20.5216,1157.83,21.3094,17.5218,10.7047,3.77141,8.17595,
caris_87,56.9015,0.111342,37.4572,0.421756,0.415801,17.5995,14.2581,7.90224,7.2931,5.88048,570.841,2.11126,10.1939,15.4333,1.88553,18.619,583.022,494.589,15.4791,1.27398,3.4704,157.742,1.8198,31.2963,4.346,49.2985,20.1693,0.243111,92.3646,165.287,298.062,46.2338,,26.3193,1867.78,66.893,28.1943,25.4729,10.598,56.2092,
caris_88,13.7747,1.21026,16.9306,1.26238,2.66372,29.8621,2.52416,5.3532,2.13192,27.2382,319.122,1.89903,13.6846,3.06575,7.00728,7.38912,65.2993,245.257,7.90118,4.11399,0.188504,126.303,13.4539,8.04139,6.55673,66.7465,10.7203,12.319,47.6928,139.409,31.955,26.5109,,101.854,859.925,17.9012,12.8507,24.6816,2.12952,26.2975,
caris_89,39.9732,0.923013,23.9685,0.389214,0.239854,24.6359,12.7001,6.87068,6.67636,3.55714,270.901,4.02782,8.96105,5.4953,0.28642,71.9341,440.318,277.615,18.1733,0.995315,3.62427,117.005,207.042,16.1254,8.76425,67.2469,2.61295,15.7776,121.215,165.51,59.0161,32.759,,26.0413,1283.08,58.2923,26.7736,27.8482,7.59722,34.2937,
